alias,md_target,cat,seq,slug,title,source_path,library_path,sha256,bytes,pages,notes
W2LIB-MAN-011-v5_0_beta_manual_part5_utilities,W2MD-MAN-011-v5_0_beta_manual_part5_utilities.md,MAN,11,v5_0_beta_manual_part5_utilities,V5.0 Beta Manual Part5 Utilities,I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\_extract\v5\Documentation\W2manual5Beta_Part5_ModelUtilities_rev6.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\01_manuals\W2LIB-MAN-011-v5_0_beta_manual_part5_utilities.pdf,a72adbd8be097e873db2c6c8bd97127abb7f20e74b2ea00d1005c528181a6ed0,3855983,172,manual
W2LIB-DOC-001-usgs_ofr_2015-1027_auto_port_selection,W2MD-DOC-001-usgs_ofr_2015-1027_auto_port_selection.md,DOC,1,usgs_ofr_2015-1027_auto_port_selection,USGS OFR 2015-1027 Auto Port Selection,I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\_extract\v455\USGS documentation for using USGS Auto Port Selection Algorithm\USGS Report on Improved Algorithms_ofr2015-1027.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\02_tech_docs\W2LIB-DOC-001-usgs_ofr_2015-1027_auto_port_selection.pdf,8db37d27f0e0a2443bec9b124c5dc562eba5c15ab33a88bf332a666ebc7f4108,3511342,46,tech_doc
W2LIB-DOC-002-control_file_converter_4_5_guide,W2MD-DOC-002-control_file_converter_4_5_guide.md,DOC,2,control_file_converter_4_5_guide,Control File Converter 4.5 Guide,I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\_extract\v455\Control File Converter\ControlFIleConverter4.5.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\02_tech_docs\W2LIB-DOC-002-control_file_converter_4_5_guide.pdf,8512d3489d0f83c984ba2b99a8392c72b20db159d80017b7f5d2464aee751dea,1230200,5,tech_doc
W2LIB-DOC-003-w2tools_post-processor_quick_guide,W2MD-DOC-003-w2tools_post-processor_quick_guide.md,DOC,3,w2tools_post-processor_quick_guide,W2Tools Post-Processor Quick Guide,I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\_extract\v455\W2tools post-processor\W2_Post_Quick_Guide (Rev03).pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\02_tech_docs\W2LIB-DOC-003-w2tools_post-processor_quick_guide.pdf,57d460ffdf81564499c1560fc3b339fc8418d671dd0c24ee8d9ce820f1be7edd,1816040,24,tech_doc
W2LIB-DOC-004-v5_mercury_theory_model_dec2023,W2MD-DOC-004-v5_mercury_theory_model_dec2023.md,DOC,4,v5_mercury_theory_model_dec2023,V5 Mercury Theory Model Dec2023,I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\_extract\v5\Documentation\Mercury_Theory_Model_Dec2023_PSU.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\02_tech_docs\W2LIB-DOC-004-v5_mercury_theory_model_dec2023.pdf,c7300616a28db72aa03e21dbb7ddf276862af6e4cb47317d2825ad9564b24c3f,2417155,74,tech_doc
W2LIB-DOC-005-v5_tn_selective_withdrawal_jan2024,W2MD-DOC-005-v5_tn_selective_withdrawal_jan2024.md,DOC,5,v5_tn_selective_withdrawal_jan2024,V5 TN Selective Withdrawal Jan2024,I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\_extract\v5\Documentation\W2 TN Selective Withdrawl_Jan2024.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\02_tech_docs\W2LIB-DOC-005-v5_tn_selective_withdrawal_jan2024.pdf,1c37c567ef155552e72675cbaf06085e09a4b87146522862916adfdc065153c7,817640,11,tech_doc
W2LIB-LIT-001-cema_oil_sands_pit_lake_model_may_2011,W2MD-LIT-001-cema_oil_sands_pit_lake_model_may_2011.md,LIT,1,cema_oil_sands_pit_lake_model_may_2011,CEMA Oil Sands Pit Lake Model May 2011,I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\_extract\v455\Sediment diagenesis documentation\CEMA Oil Sands Pit Lake Model May 2011.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\03_literature\W2LIB-LIT-001-cema_oil_sands_pit_lake_model_may_2011.pdf,f87775f69643b6f5f94230374c2ba4a7feb6c5e2d5d565893d37a256be2ad79b,1771054,86,bundled_report
W2LIB-LIT-002-prakash_et_al_2014_sediment_diagenesis_part2,W2MD-LIT-002-prakash_et_al_2014_sediment_diagenesis_part2.md,LIT,2,prakash_et_al_2014_sediment_diagenesis_part2,Prakash et al. 2014 Sediment Diagenesis Part2,I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\_extract\v455\Sediment diagenesis documentation\Prakash Vandenberg Buchak 2014 Sediment Diagenesis Part 2.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\03_literature\W2LIB-LIT-002-prakash_et_al_2014_sediment_diagenesis_part2.pdf,1689c9b3532b801da84424f80a47204b2fda01ed903dbb17d06521b17ac33c93,754604,10,bundled_report
W2LIB-LIT-003-updating_cema_osplm_report_aug2014,W2MD-LIT-003-updating_cema_osplm_report_aug2014.md,LIT,3,updating_cema_osplm_report_aug2014,Updating CEMA OSPLM Report Aug2014,I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\_extract\v455\Sediment diagenesis documentation\Updating the CEMA OSPLM Report Aug2014.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\03_literature\W2LIB-LIT-003-updating_cema_osplm_report_aug2014.pdf,8b7d6bf79f98f2c5c959efc0ab0a6a295f22a26c7d11d87166e7e712ee8c84da,2095541,86,bundled_report
W2LIB-LIT-010-mdpi_water_2024_global_applications_ce-qual-w2_eutrophication_review,W2MD-LIT-010-mdpi_water_2024_global_applications_ce-qual-w2_eutrophication_review.md,LIT,10,mdpi_water_2024_global_applications_ce-qual-w2_eutrophication_review,MDPI Water 2024 Global Applications CE-QUAL-W2 Eutrophication Review,c:\Users\Administrator\Downloads\water-16-03556.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\03_literature\W2LIB-LIT-010-mdpi_water_2024_global_applications_ce-qual-w2_eutrophication_review.pdf,fe3f5c627cad1087d2ddd73c24a533a82990f5e9b83af749067a2023895858d6,1579351,22,user_provided_download
W2LIB-LIT-011-wells_cole_basis_of_ce-qual-w2_version_3_river_basin_model,W2MD-LIT-011-wells_cole_basis_of_ce-qual-w2_version_3_river_basin_model.md,LIT,11,wells_cole_basis_of_ce-qual-w2_version_3_river_basin_model,Wells Cole Basis of CE-QUAL-W2 Version 3 River Basin Model,c:\Users\Administrator\Downloads\Basis of the CE-QUAL-W2 Version 3 River Basin Hydrodynamic and Wa.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\03_literature\W2LIB-LIT-011-wells_cole_basis_of_ce-qual-w2_version_3_river_basin_model.pdf,95a07751502f2071eff91a07a8adcf2c9812cb7fc66e496eec5e9b5014c024ff,165974,13,user_provided_download
W2LIB-FAC-001-ce-qual-w2_version_4_5_summary,W2MD-FAC-001-ce-qual-w2_version_4_5_summary.md,FAC,1,ce-qual-w2_version_4_5_summary,CE-QUAL-W2 Version 4.5 Summary,I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\_extract\github-v45\CE-QUAL-W2-4.5\CE-QUAL-W2_Version_4.5_Summary.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\04_factsheets\W2LIB-FAC-001-ce-qual-w2_version_4_5_summary.pdf,470a8575c25a71765fe2e88009dd5174f2e6f6a7d3e3d6acc488533b331768b6,560542,4,factsheet
W2LIB-FAC-002-graphical_abstract,W2MD-FAC-002-graphical_abstract.md,FAC,2,graphical_abstract,Graphical Abstract,I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\_extract\github-v45\CE-QUAL-W2-4.5\fact-sheets\images\Graphical-Abstract.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\04_factsheets\W2LIB-FAC-002-graphical_abstract.pdf,35f6f617fb63c1481e7ff4bf2484954d66b0d7d731887bef801a2bcbeecb80f4,849042,1,factsheet
W2LIB-EXA-001-bonneville_dam_systdg_example_note,W2MD-EXA-001-bonneville_dam_systdg_example_note.md,EXA,1,bonneville_dam_systdg_example_note,Bonneville Dam SYSTDG Example Note,I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\_extract\v455\Examples\BonnevilleDam with TDG computed using SYSTDG\BonnevilleDamSYSTDG.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\10_misc_pdf\W2LIB-EXA-001-bonneville_dam_systdg_example_note.pdf,1f7ab608e74f0f7decdb21a49fd294828fc0ab326a6d2021efe501c052c08342,650036,6,example_pdf
W2LIB-REL-001-bug_fixes_and_updates_legacy_index,W2MD-REL-001-bug_fixes_and_updates_legacy_index.md,REL,1,bug_fixes_and_updates_legacy_index,Bug Fixes and Updates (legacy index),I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\bug_fixes_updates.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\09_release_notes\W2LIB-REL-001-bug_fixes_and_updates_legacy_index.pdf,f96e2f579cd97d5d802533839b0b4e4d6f4b96fce286ac357f54728e9683334d,57693,10,release_note
W2LIB-REL-002-version_3_6_release_notes,W2MD-REL-002-version_3_6_release_notes.md,REL,2,version_3_6_release_notes,Version 3.6 Release Notes,I:\Projects\20260810-CE-QUAL-W2\01_RAW_DOWNLOADS\W2_Version_3.6_Release_Notes.pdf,I:\Projects\20260810-CE-QUAL-W2\02_LIBRARY\09_release_notes\W2LIB-REL-002-version_3_6_release_notes.pdf,358c992c55dc0f078db9c08ffa21853e3605cca29f38e92f3517ee58fb7d0cfd,377213,46,release_note
